날짜,발전기명,설비용량(MW),발전량(MWh)
2023.7.19,경상대태양광,0.905,2.414736
2023.7.20,경상대태양광,0.905,3.340728
2023.7.21,경상대태양광,0.905,3.266136
2023.7.22,경상대태양광,0.905,1.571616
2023.7.23,경상대태양광,0.905,2.393136
2023.7.24,경상대태양광,0.905,1.523448
2023.7.25,경상대태양광,0.905,3.34008
2023.7.26,경상대태양광,0.905,3.354336
2023.7.27,경상대태양광,0.905,3.917304
2023.7.28,경상대태양광,0.905,2.718
2023.7.29,경상대태양광,0.905,3.946968
2023.7.30,경상대태양광,0.905,3.775176
2023.7.31,경상대태양광,0.905,3.79548
2023.8.1,경상대태양광,0.905,3.730536
2023.8.2,경상대태양광,0.905,3.795696
2023.8.3,경상대태양광,0.905,3.912912
2023.8.4,경상대태양광,0.905,2.79072
2023.8.5,경상대태양광,0.905,3.292272
2023.8.6,경상대태양광,0.905,2.59596
2023.8.7,경상대태양광,0.905,2.85228
2023.8.8,경상대태양광,0.905,3.3858
2023.8.9,경상대태양광,0.905,0.493848
2023.8.10,경상대태양광,0.905,1.309536
2023.8.11,경상대태양광,0.905,3.950064
2023.8.12,경상대태양광,0.905,3.342456
2023.8.13,경상대태양광,0.905,2.951424
2023.8.14,경상대태양광,0.905,3.432744
2023.8.15,경상대태양광,0.905,3.1536
2023.8.16,경상대태양광,0.905,2.92104
2023.8.17,경상대태양광,0.905,2.109384
2023.8.18,경상대태양광,0.905,2.326896
2023.8.19,경상대태양광,0.905,1.81368
2023.8.20,경상대태양광,0.905,3.426552
2023.8.21,경상대태양광,0.905,3.515616
2023.8.22,경상대태양광,0.905,3.05784
2023.8.23,경상대태양광,0.905,2.936808
2023.8.24,경상대태양광,0.905,1.19808
2023.8.25,경상대태양광,0.905,3.653064
2023.8.26,경상대태양광,0.905,3.425904
2023.8.27,경상대태양광,0.905,2.493216
2023.8.28,경상대태양광,0.905,1.527624
2023.8.29,경상대태양광,0.905,1.47096
